area_name,gender,age,n
England,Males,0,327309
England,Males,1,338368
England,Males,2,349229
England,Males,3,349199
England,Males,4,352148
England,Males,5,360688
England,Males,6,370995
England,Males,7,363496
England,Males,8,356965
England,Males,9,351790
England,Males,10,355145
England,Males,11,344574
England,Males,12,337076
England,Males,13,322996
England,Males,14,317980
England,Males,15,309945
England,Males,16,305110
England,Males,17,313367
England,Males,18,324403
England,Males,19,337046
England,Males,20,343991
England,Males,21,357200
England,Males,22,363315
England,Males,23,364520
England,Males,24,376642
England,Males,25,377103
England,Males,26,385487
England,Males,27,397538
England,Males,28,391623
England,Males,29,384229
England,Males,30,385964
England,Males,31,372655
England,Males,32,380880
England,Males,33,380805
England,Males,34,369422
England,Males,35,370811
England,Males,36,369418
England,Males,37,372822
England,Males,38,373242
England,Males,39,359561
England,Males,40,336044
England,Males,41,329983
England,Males,42,334321
England,Males,43,340409
England,Males,44,345749
England,Males,45,360708
England,Males,46,375568
England,Males,47,384636
England,Males,48,375401
England,Males,49,383381
England,Males,50,382860
England,Males,51,389406
England,Males,52,386668
England,Males,53,388054
England,Males,54,384446
England,Males,55,375450
England,Males,56,367033
England,Males,57,353738
England,Males,58,337972
England,Males,59,329177
England,Males,60,321653
England,Males,61,308159
England,Males,62,296626
England,Males,63,284029
England,Males,64,282719
England,Males,65,278642
England,Males,66,268184
England,Males,67,268738
England,Males,68,271970
England,Males,69,278608
England,Males,70,292024
England,Males,71,315843
England,Males,72,240337
England,Males,73,230038
England,Males,74,226476
England,Males,75,205959
England,Males,76,179879
England,Males,77,158067
England,Males,78,161540
England,Males,79,156343
England,Males,80,147733
England,Males,81,135514
England,Males,82,123492
England,Males,83,112133
England,Males,84,98000
England,Males,85,87528
England,Males,86,79030
England,Males,87,69067
England,Males,88,58264
England,Males,89,47498
England,Males,90,157788
England,Females,0,310525
England,Females,1,321522
England,Females,2,331803
England,Females,3,331559
England,Females,4,335065
England,Females,5,342703
England,Females,6,354215
England,Females,7,346678
England,Females,8,340812
England,Females,9,335524
England,Females,10,337926
England,Females,11,326534
England,Females,12,321037
England,Females,13,307963
England,Females,14,302888
England,Females,15,293801
England,Females,16,288845
England,Females,17,298838
England,Females,18,305833
England,Females,19,319387
England,Females,20,325703
England,Females,21,337190
England,Females,22,340570
England,Females,23,345682
England,Females,24,357841
England,Females,25,361973
England,Females,26,377446
England,Females,27,383724
England,Females,28,377887
England,Females,29,378914
England,Females,30,385662
England,Females,31,379770
England,Females,32,379553
England,Females,33,379662
England,Females,34,373224
England,Females,35,376544
England,Females,36,376552
England,Females,37,378172
England,Females,38,378447
England,Females,39,361914
England,Females,40,336944
England,Females,41,331604
England,Females,42,338908
England,Females,43,345283
England,Females,44,351339
England,Females,45,365570
England,Females,46,380534
England,Females,47,394820
England,Females,48,384788
England,Females,49,393836
England,Females,50,393074
England,Females,51,396933
England,Females,52,398868
England,Females,53,399900
England,Females,54,395242
England,Females,55,385802
England,Females,56,375868
England,Females,57,362172
England,Females,58,347088
England,Females,59,339029
England,Females,60,331290
England,Females,61,318785
England,Females,62,306696
England,Females,63,296404
England,Females,64,298013
England,Females,65,292661
England,Females,66,285237
England,Females,67,286641
England,Females,68,293101
England,Females,69,298811
England,Females,70,315080
England,Females,71,339855
England,Females,72,261886
England,Females,73,252895
England,Females,74,250366
England,Females,75,232313
England,Females,76,206575
England,Females,77,184848
England,Females,78,190485
England,Females,79,187117
England,Females,80,179519
England,Females,81,168751
England,Females,82,158153
England,Females,83,147147
England,Females,84,133314
England,Females,85,123624
England,Females,86,116217
England,Females,87,106926
England,Females,88,95694
England,Females,89,81854
England,Females,90,341488
